|           | greedy     | metaheuristic |
|-----------|------------|---------------|
| 100       | 32         | 24            |
| 200       | 52         | 42            |
| 300       | 74         | 58            |
| 400       | 95         | 72            |
| 500       | 109        | 87            |
| 600       | 124        | 101           |
| 700       | 145        | 117           |
| 800       | 160        | 133           |
| 900       | 178        | 150           |
| 1000      | 196        | 168           |
| 1100      | 213        | 184           |
| 1200      | 226        | 200           |
| 1300      | 246        | 217           |
| 1400      | 257        | 236           |
| 1500      | 272        | 255           |
